Year,State,Deaths
2010,Alabama,68033
2010,Alaska,6026
2010,Arizona,62262
2010,Arkansas,39308
2010,California,307911
2010,Colorado,39224
2010,Connecticut,31384
2010,Delaware,9897
2010,District of Columbia,8749
2010,Florida,211811
2010,Georgia,103882
2010,Hawaii,11628
2010,Idaho,12963
2010,Illinois,129232
2010,Indiana,72239
2010,Iowa,28301
2010,Kansas,28134
2010,Kentucky,57026
2010,Louisiana,64349
2010,Maine,14776
2010,Maryland,60366
2010,Massachusetts,58537
2010,Michigan,111046
2010,Minnesota,40681
2010,Mississippi,43622
2010,Missouri,70181
2010,Montana,10213
2010,Nebraska,15987
2010,Nevada,29824
2010,New Hampshire,11934
2010,New Jersey,84059
2010,New Mexico,21396
2010,New York,182711
2010,North Carolina,104858
2010,North Dakota,5763
2010,Ohio,134829
2010,Oklahoma,49244
2010,Oregon,37133
2010,Pennsylvania,144773
2010,Rhode Island,10228
2010,South Carolina,58129
2010,South Dakota,7578
2010,Tennessee,83374
2010,Texas,226349
2010,Utah,17723
2010,Vermont,5798
2010,Virginia,78557
2010,Washington,56905
2010,West Virginia,27840
2010,Wisconsin,51948
2010,Wyoming,5713
2011,Alabama,68872
2011,Alaska,6260
2011,Arizona,63377
2011,Arkansas,39657
2011,California,308204
2011,Colorado,39816
2011,Connecticut,30976
2011,Delaware,9887
2011,District of Columbia,8609
2011,Florida,212308
2011,Georgia,105026
2011,Hawaii,11780
2011,Idaho,13236
2011,Illinois,128198
2011,Indiana,72770
2011,Iowa,28591
2011,Kansas,28303
2011,Kentucky,57736
2011,Louisiana,63422
2011,Maine,14870
2011,Maryland,60260
2011,Massachusetts,57943
2011,Michigan,111792
2011,Minnesota,40820
2011,Mississippi,44021
2011,Missouri,70376
2011,Montana,10477
2011,Nebraska,16228
2011,Nevada,30420
2011,New Hampshire,12084
2011,New Jersey,82718
2011,New Mexico,22023
2011,New York,180130
2011,North Carolina,106871
2011,North Dakota,5758
2011,Ohio,135253
2011,Oklahoma,50161
2011,Oregon,37751
2011,Pennsylvania,143605
2011,Rhode Island,10118
2011,South Carolina,59490
2011,South Dakota,7527
2011,Tennessee,84194
2011,Texas,230332
2011,Utah,18290
2011,Vermont,5901
2011,Virginia,79115
2011,Washington,58048
2011,West Virginia,28378
2011,Wisconsin,52517
2011,Wyoming,5883
2012,Alabama,69614
2012,Alaska,6396
2012,Arizona,63344
2012,Arkansas,40499
2012,California,306545
2012,Colorado,40313
2012,Connecticut,30665
2012,Delaware,10042
2012,District of Columbia,8443
2012,Florida,213337
2012,Georgia,106300
2012,Hawaii,11760
2012,Idaho,13308
2012,Illinois,128544
2012,Indiana,73475
2012,Iowa,28939
2012,Kansas,27535
2012,Kentucky,58408
2012,Louisiana,61870
2012,Maine,14717
2012,Maryland,60012
2012,Massachusetts,57233
2012,Michigan,112024
2012,Minnesota,41086
2012,Mississippi,44208
2012,Missouri,71204
2012,Montana,10274
2012,Nebraska,15291
2012,Nevada,30355
2012,New Hampshire,12088
2012,New Jersey,81735
2012,New Mexico,22462
2012,New York,178446
2012,North Carolina,108344
2012,North Dakota,5069
2012,Ohio,136051
2012,Oklahoma,50964
2012,Oregon,38106
2012,Pennsylvania,142846
2012,Rhode Island,10111
2012,South Carolina,60147
2012,South Dakota,6905
2012,Tennessee,84959
2012,Texas,233893
2012,Utah,18613
2012,Vermont,6037
2012,Virginia,79112
2012,Washington,59184
2012,West Virginia,28833
2012,Wisconsin,52751
2012,Wyoming,5945
2013,Alabama,70721
2013,Alaska,6818
2013,Arizona,63658
2013,Arkansas,41697
2013,California,303379
2013,Colorado,42773
2013,Connecticut,30727
2013,Delaware,10352
2013,District of Columbia,7823
2013,Florida,215623
2013,Georgia,108939
2013,Hawaii,11972
2013,Idaho,14286
2013,Illinois,128799
2013,Indiana,75409
2013,Iowa,30046
2013,Kansas,29191
2013,Kentucky,61248
2013,Louisiana,62429
2013,Maine,14833
2013,Maryland,59532
2013,Massachusetts,56889
2013,Michigan,113514
2013,Minnesota,42774
2013,Mississippi,44471
2013,Missouri,72878
2013,Montana,11246
2013,Nebraska,16745
2013,Nevada,30793
2013,New Hampshire,12150
2013,New Jersey,80137
2013,New Mexico,22953
2013,New York,177032
2013,North Carolina,110107
2013,North Dakota,6320
2013,Ohio,138370
2013,Oklahoma,52753
2013,Oregon,39066
2013,Pennsylvania,143525
