State_Name,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Code,Item
Alabama,5795,4802,5064,4834,4957,4879,4596,5015,1,Medicaid/Personal Health Care ($)
Alaska,10666,11285,11743,11358,11605,11428,11159,9976,1,Medicaid/Personal Health Care ($)
Arizona,6411,6209,5293,5446,5925,5673,5446,5836,1,Medicaid/Personal Health Care ($)
Arkansas,6279,6370,6555,6653,5994,5331,6125,6156,1,Medicaid/Personal Health Care ($)
California,4700,4895,5385,5850,5161,6500,7164,6644,1,Medicaid/Personal Health Care ($)
Colorado,7183,7111,7534,7982,7023,6947,6540,6838,1,Medicaid/Personal Health Care ($)
Connecticut,9156,8605,9344,8785,8015,8089,7682,7521,1,Medicaid/Personal Health Care ($)
Delaware,6291,6333,6876,6744,6868,6709,6955,7793,1,Medicaid/Personal Health Care ($)
District of Columbia,10165,9937,9170,9493,8833,9132,9528,9328,1,Medicaid/Personal Health Care ($)
Florida,5535,5214,5045,4948,5087,4648,4756,4965,1,Medicaid/Personal Health Care ($)
Georgia,4924,5006,4946,5087,5112,4750,4740,4876,1,Medicaid/Personal Health Care ($)
Hawaii,5837,5719,4937,5538,5805,5365,5316,5345,1,Medicaid/Personal Health Care ($)
Idaho,7660,6046,6873,7247,7007,6842,6462,6643,1,Medicaid/Personal Health Care ($)
Illinois,6157,4974,4937,5723,4876,5213,4847,5258,1,Medicaid/Personal Health Care ($)
Indiana,6024,5887,7602,6893,8148,7236,7021,7168,1,Medicaid/Personal Health Care ($)
Iowa,6597,6686,6791,6751,6481,6547,5869,5250,1,Medicaid/Personal Health Care ($)
Kansas,7079,7370,6980,6657,6621,6922,6862,7375,1,Medicaid/Personal Health Care ($)
Kentucky,6931,6815,6641,6834,6994,6829,6181,6417,1,Medicaid/Personal Health Care ($)
Louisiana,6155,5848,5884,6186,6176,5949,5969,6336,1,Medicaid/Personal Health Care ($)
Maine,6098,6742,7077,7824,7357,7894,8070,8729,1,Medicaid/Personal Health Care ($)
