State_Name,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Code,Item
Alabama,8301,8591,8968,9275,9704,10157,10485,10987,1,Medicare/Personal Health Care (Millions of Dollars)
Alaska,562,608,640,692,747,787,869,928,1,Medicare/Personal Health Care (Millions of Dollars)
Arizona,8940,9547,10063,10549,11074,11716,12276,13270,1,Medicare/Personal Health Care (Millions of Dollars)
Arkansas,4750,4964,5162,5290,5511,5759,6003,6330,1,Medicare/Personal Health Care (Millions of Dollars)
California,53008,55969,58929,61833,64445,68562,71628,74508,1,Medicare/Personal Health Care (Millions of Dollars)
Colorado,5539,5810,6210,6450,6977,7407,7791,8354,1,Medicare/Personal Health Care (Millions of Dollars)
Connecticut,6288,6543,6705,7048,7369,7627,7814,8156,1,Medicare/Personal Health Care (Millions of Dollars)
Delaware,1581,1680,1749,1870,2015,2104,2203,2296,1,Medicare/Personal Health Care (Millions of Dollars)
District of Columbia,884,921,953,990,1025,1082,1117,1151,1,Medicare/Personal Health Care (Millions of Dollars)
Florida,40687,42679,44628,45785,47826,50430,51599,53686,1,Medicare/Personal Health Care (Millions of Dollars)
Georgia,12377,13013,13843,14551,15267,16068,17010,18063,1,Medicare/Personal Health Care (Millions of Dollars)
Hawaii,1624,1734,1840,1900,2026,2152,2269,2351,1,Medicare/Personal Health Care (Millions of Dollars)
Idaho,1810,1943,2085,2193,2374,2513,2659,2824,1,Medicare/Personal Health Care (Millions of Dollars)
Illinois,19800,20642,21205,21732,22546,23173,23982,24926,1,Medicare/Personal Health Care (Millions of Dollars)
Indiana,10061,10601,11022,11507,12034,12465,12975,13570,1,Medicare/Personal Health Care (Millions of Dollars)
Iowa,4390,4582,4791,4982,5181,5433,5607,5965,1,Medicare/Personal Health Care (Millions of Dollars)
Kansas,4134,4287,4440,4575,4817,4978,5129,5424,1,Medicare/Personal Health Care (Millions of Dollars)
Kentucky,7465,7844,8126,8432,8715,8961,9348,9890,1,Medicare/Personal Health Care (Millions of Dollars)
Louisiana,8251,8536,8724,8851,9115,9474,9769,10164,1,Medicare/Personal Health Care (Millions of Dollars)
Maine,2284,2423,2502,2622,2780,2907,3049,3225,1,Medicare/Personal Health Care (Millions of Dollars)
Maryland,8952,9609,9908,10363,10909,11453,11813,12411,1,Medicare/Personal Health Care (Millions of Dollars)
Massachusetts,12079,12544,13153,13434,14185,14841,15342,15831,1,Medicare/Personal Health Care (Millions of Dollars)
Michigan,17980,18662,19382,20054,20847,21552,22080,22944,1,Medicare/Personal Health Care (Millions of Dollars)
Minnesota,7076,7374,7771,8197,8769,9310,9628,10418,1,Medicare/Personal Health Care (Millions of Dollars)
Mississippi,5405,5538,5722,5808,6033,6279,6477,6781,1,Medicare/Personal Health Care (Millions of Dollars)
Missouri,9872,10233,10746,11080,11625,12019,12431,13058,1,Medicare/Personal Health Care (Millions of Dollars)
Montana,1287,1334,1421,1509,1599,1689,1791,1959,1,Medicare/Personal Health Care (Millions of Dollars)
Nebraska,2604,2690,2795,2902,3024,3207,3316,3510,1,Medicare/Personal Health Care (Millions of Dollars)
Nevada,3582,3845,4094,4371,4693,5055,5382,5726,1,Medicare/Personal Health Care (Millions of Dollars)
New Hampshire,1942,2089,2185,2303,2407,2544,2681,2834,1,Medicare/Personal Health Care (Millions of Dollars)
New Jersey,15961,16628,17010,17598,18453,19000,19698,20095,1,Medicare/Personal Health Care (Millions of Dollars)
New Mexico,2593,2734,2875,2991,3142,3310,3493,3686,1,Medicare/Personal Health Care (Millions of Dollars)
New York,34949,36367,37512,38377,39700,41030,42221,43715,1,Medicare/Personal Health Care (Millions of Dollars)
North Carolina,14770,15523,16233,16975,17694,18566,19329,20320,1,Medicare/Personal Health Care (Millions of Dollars)
North Dakota,871,948,1000,1039,1103,1151,1205,1283,1,Medicare/Personal Health Care (Millions of Dollars)
Ohio,19936,20833,21479,22359,23194,23732,24513,25745,1,Medicare/Personal Health Care (Millions of Dollars)
Oklahoma,6178,6322,6477,6625,6955,7273,7597,8074,1,Medicare/Personal Health Care (Millions of Dollars)
Oregon,5165,5446,5756,6047,6478,6919,7331,7799,1,Medicare/Personal Health Care (Millions of Dollars)
Pennsylvania,24457,25354,25981,26776,27884,28885,29487,30773,1,Medicare/Personal Health Care (Millions of Dollars)
Rhode Island,1888,1918,1973,2057,2167,2213,2263,2296,1,Medicare/Personal Health Care (Millions of Dollars)
South Carolina,7611,7983,8421,8848,9351,9803,10237,10916,1,Medicare/Personal Health Care (Millions of Dollars)
South Dakota,1113,1198,1249,1315,1407,1493,1578,1665,1,Medicare/Personal Health Care (Millions of Dollars)
Tennessee,10717,11136,11583,11868,12462,13077,13572,14371,1,Medicare/Personal Health Care (Millions of Dollars)
Texas,35000,36673,38358,39793,41904,44060,45758,47946,1,Medicare/Personal Health Care (Millions of Dollars)
Utah,2384,2526,2683,2826,3018,3193,3341,3638,1,Medicare/Personal Health Care (Millions of Dollars)
Vermont,976,1013,1071,1120,1176,1246,1307,1367,1,Medicare/Personal Health Care (Millions of Dollars)
Virginia,10140,10794,11391,11996,12605,13176,13761,14502,1,Medicare/Personal Health Care (Millions of Dollars)
Washington,8215,8673,9295,9766,10308,10929,11544,12250,1,Medicare/Personal Health Care (Millions of Dollars)
West Virginia,3597,3751,3886,4028,4207,4316,4494,4693,1,Medicare/Personal Health Care (Millions of Dollars)
