,State_Name,Cost,Code,Item,Year
9,Alabama,8301,1,Medicare/Personal Health Care (Millions of Dollars),2010
10,Alaska,562,1,Medicare/Personal Health Care (Millions of Dollars),2010
11,Arizona,8940,1,Medicare/Personal Health Care (Millions of Dollars),2010
12,Arkansas,4750,1,Medicare/Personal Health Care (Millions of Dollars),2010
13,California,53008,1,Medicare/Personal Health Care (Millions of Dollars),2010
14,Colorado,5539,1,Medicare/Personal Health Care (Millions of Dollars),2010
15,Connecticut,6288,1,Medicare/Personal Health Care (Millions of Dollars),2010
16,Delaware,1581,1,Medicare/Personal Health Care (Millions of Dollars),2010
17,District of Columbia,884,1,Medicare/Personal Health Care (Millions of Dollars),2010
18,Florida,40687,1,Medicare/Personal Health Care (Millions of Dollars),2010
19,Georgia,12377,1,Medicare/Personal Health Care (Millions of Dollars),2010
20,Hawaii,1624,1,Medicare/Personal Health Care (Millions of Dollars),2010
21,Idaho,1810,1,Medicare/Personal Health Care (Millions of Dollars),2010
22,Illinois,19800,1,Medicare/Personal Health Care (Millions of Dollars),2010
23,Indiana,10061,1,Medicare/Personal Health Care (Millions of Dollars),2010
24,Iowa,4390,1,Medicare/Personal Health Care (Millions of Dollars),2010
25,Kansas,4134,1,Medicare/Personal Health Care (Millions of Dollars),2010
26,Kentucky,7465,1,Medicare/Personal Health Care (Millions of Dollars),2010
27,Louisiana,8251,1,Medicare/Personal Health Care (Millions of Dollars),2010
28,Maine,2284,1,Medicare/Personal Health Care (Millions of Dollars),2010
29,Maryland,8952,1,Medicare/Personal Health Care (Millions of Dollars),2010
30,Massachusetts,12079,1,Medicare/Personal Health Care (Millions of Dollars),2010
31,Michigan,17980,1,Medicare/Personal Health Care (Millions of Dollars),2010
32,Minnesota,7076,1,Medicare/Personal Health Care (Millions of Dollars),2010
33,Mississippi,5405,1,Medicare/Personal Health Care (Millions of Dollars),2010
34,Missouri,9872,1,Medicare/Personal Health Care (Millions of Dollars),2010
35,Montana,1287,1,Medicare/Personal Health Care (Millions of Dollars),2010
36,Nebraska,2604,1,Medicare/Personal Health Care (Millions of Dollars),2010
37,Nevada,3582,1,Medicare/Personal Health Care (Millions of Dollars),2010
38,New Hampshire,1942,1,Medicare/Personal Health Care (Millions of Dollars),2010
