,Acsst5Y2010.S0101-Data.1.2,Geographic Area Name,Total  Estimate  Total Population,Total  Estimate  Selected Age Categories 65 Years And Over
0,2010,Alabama,4712651.0,636208.0
1,2010,Alaska,691189.0,50457.0
2,2010,Arizona,6246816.0,830827.0
3,2010,Arkansas,2872684.0,405048.0
4,2010,California,36637290.0,4066739.0
5,2010,Colorado,4887061.0,513141.0
6,2010,Connecticut,3545837.0,492871.0
7,2010,Delaware,881278.0,122498.0
8,2010,District of Columbia,584400.0,67206.0
9,2010,Florida,18511620.0,3128464.0
10,2010,Georgia,9468815.0,975288.0
11,2010,Hawaii,1333591.0,186703.0
12,2010,Idaho,1526797.0,183216.0
13,2010,Illinois,12745359.0,1567679.0
14,2010,Indiana,6417398.0,815010.0
15,2010,Iowa,3016267.0,446408.0
16,2010,Kansas,2809329.0,368022.0
17,2010,Kentucky,4285828.0,561443.0
18,2010,Louisiana,4429940.0,536023.0
19,2010,Maine,1327665.0,203133.0
20,2010,Maryland,5696423.0,677874.0
21,2010,Massachusetts,6477096.0,874408.0
22,2010,Michigan,9952687.0,1313755.0
23,2010,Minnesota,5241914.0,660481.0
24,2010,Mississippi,2941991.0,370691.0
25,2010,Missouri,5922314.0,811357.0
26,2010,Montana,973739.0,140218.0
27,2010,Nebraska,1799125.0,241083.0
28,2010,Nevada,2633331.0,302833.0
29,2010,New Hampshire,1313939.0,170812.0
30,2010,New Jersey,8721577.0,1151248.0
31,2010,New Mexico,2013122.0,257680.0
32,2010,New York,19229752.0,2557557.0
33,2010,North Carolina,9271178.0,1168168.0
34,2010,North Dakota,659858.0,96339.0
35,2010,Ohio,11512431.0,1588715.0
36,2010,Oklahoma,3675339.0,492495.0
37,2010,Oregon,3761925.0,507860.0
38,2010,Pennsylvania,12612705.0,1929744.0
39,2010,Rhode Island,1056389.0,150007.0
40,2010,South Carolina,4511428.0,595508.0
41,2010,South Dakota,799462.0,114323.0
42,2010,Tennessee,6234968.0,816781.0
43,2010,Texas,24311891.0,2455501.0
44,2010,Utah,2657236.0,236494.0
45,2010,Vermont,624258.0,87396.0
46,2010,Virginia,7841754.0,925327.0
47,2010,Washington,6561297.0,780794.0
48,2010,West Virginia,1840802.0,290847.0
49,2010,Wisconsin,5637947.0,755485.0
50,2010,Wyoming,545579.0,66561.0
52,2011,Alabama,4747424.0,645650.0
53,2011,Alaska,700703.0,52553.0
54,2011,Arizona,6337373.0,861883.0
55,2011,Arkansas,2895928.0,414118.0
56,2011,California,36969200.0,4177520.0
57,2011,Colorado,4966061.0,536335.0
58,2011,Connecticut,3558172.0,498144.0
59,2011,Delaware,890856.0,126502.0
60,2011,District of Columbia,593955.0,67711.0
61,2011,Florida,18688787.0,3214471.0
62,2011,Georgia,9600612.0,1008064.0
63,2011,Hawaii,1346554.0,191211.0
64,2011,Idaho,1549987.0,189098.0
65,2011,Illinois,12790182.0,1585983.0
66,2011,Indiana,6454254.0,832599.0
67,2011,Iowa,3032266.0,451808.0
68,2011,Kansas,2830985.0,370859.0
69,2011,Kentucky,4316040.0,569717.0
70,2011,Louisiana,4484596.0,547121.0
71,2011,Maine,1328543.0,207253.0
72,2011,Maryland,5736545.0,694122.0
73,2011,Massachusetts,6512227.0,892175.0
74,2011,Michigan,9920621.0,1339284.0
75,2011,Minnesota,5278190.0,670330.0
76,2011,Mississippi,2956700.0,375501.0
77,2011,Missouri,5955802.0,827856.0
78,2011,Montana,982854.0,143497.0
79,2011,Nebraska,1813061.0,244763.0
80,2011,Nevada,2673396.0,315461.0
81,2011,New Hampshire,1315911.0,175016.0
82,2011,New Jersey,8753064.0,1172911.0
83,2011,New Mexico,2037136.0,266865.0
84,2011,New York,19302448.0,2586528.0
85,2011,North Carolina,9418736.0,1205598.0
86,2011,North Dakota,666783.0,96684.0
87,2011,Ohio,11525536.0,1602050.0
88,2011,Oklahoma,3714520.0,497746.0
89,2011,Oregon,3801991.0,520873.0
90,2011,Pennsylvania,12660739.0,1949754.0
91,2011,Rhode Island,1053959.0,150716.0
92,2011,South Carolina,4575864.0,617742.0
93,2011,South Dakota,807697.0,115501.0
94,2011,Tennessee,6297991.0,837633.0
95,2011,Texas,24774187.0,2551741.0
96,2011,Utah,2715379.0,244384.0
97,2011,Vermont,624958.0,89369.0
98,2011,Virginia,7926192.0,959069.0
99,2011,Washington,6652845.0,804994.0
100,2011,West Virginia,1846372.0,293573.0
101,2011,Wisconsin,5664893.0,764761.0
102,2011,Wyoming,554697.0,68228.0
103,2011,American Samoa,,
104,2011,Guam,,
105,2011,Commonwealth of the Northern Mariana Islands,,
107,2011,United States Virgin Islands,,
108,2012,Alabama,4777326.0,664048.0
109,2012,Alaska,711139.0,55469.0
110,2012,Arizona,6410979.0,897537.0
111,2012,Arkansas,2916372.0,422874.0
112,2012,California,37325068.0,4292383.0
113,2012,Colorado,5042853.0,559757.0
114,2012,Connecticut,3572213.0,510826.0
115,2012,Delaware,900131.0,130519.0
116,2012,District of Columbia,605759.0,69057.0
117,2012,Florida,18885152.0,3304902.0
118,2012,Georgia,9714569.0,1049173.0
119,2012,Hawaii,1362730.0,197596.0
120,2012,Idaho,1567803.0,195975.0
121,2012,Illinois,12823860.0,1628630.0
122,2012,Indiana,6485530.0,849604.0
123,2012,Iowa,3047646.0,454099.0
124,2012,Kansas,2851183.0,379207.0
125,2012,Kentucky,4340167.0,581582.0
126,2012,Louisiana,4529605.0,561671.0
127,2012,Maine,1329084.0,212653.0
128,2012,Maryland,5785496.0,717402.0
129,2012,Massachusetts,6560595.0,911923.0
130,2012,Michigan,9897264.0,1375720.0
131,2012,Minnesota,5313081.0,690701.0
132,2012,Mississippi,2967620.0,382823.0
133,2012,Missouri,5982413.0,843520.0
134,2012,Montana,990785.0,147627.0
135,2012,Nebraska,1827306.0,246686.0
136,2012,Nevada,2704204.0,329913.0
137,2012,New Hampshire,1317474.0,180494.0
138,2012,New Jersey,8793888.0,1195969.0
139,2012,New Mexico,2055287.0,275408.0
140,2012,New York,19398125.0,2638145.0
141,2012,North Carolina,9544249.0,1250297.0
142,2012,North Dakota,676253.0,98057.0
143,2012,Ohio,11533561.0,1637766.0
144,2012,Oklahoma,3749005.0,509865.0
145,2012,Oregon,3836628.0,540965.0
146,2012,Pennsylvania,12699589.0,1968436.0
147,2012,Rhode Island,1052471.0,153661.0
148,2012,South Carolina,4630351.0,638988.0
149,2012,South Dakota,815871.0,117485.0
150,2012,Tennessee,6353226.0,864039.0
151,2012,Texas,25208897.0,2646934.0
152,2012,Utah,2766233.0,251727.0
153,2012,Vermont,625498.0,91948.0
154,2012,Virginia,8014955.0,985839.0
155,2012,Washington,6738714.0,835601.0
156,2012,West Virginia,1850481.0,299778.0
157,2012,Wisconsin,5687219.0,784836.0
158,2012,Wyoming,562803.0,70350.0
160,2013,Alabama,4799277.0,681497.0
161,2013,Alaska,720316.0,59066.0
162,2013,Arizona,6479703.0,933077.0
163,2013,Arkansas,2933369.0,431205.0
164,2013,California,37659181.0,4443783.0
165,2013,Colorado,5119329.0,583604.0
166,2013,Connecticut,3583561.0,519616.0
167,2013,Delaware,908446.0,135358.0
168,2013,District of Columbia,619371.0,70608.0
169,2013,Florida,19091156.0,3398226.0
170,2013,Georgia,9810417.0,1088956.0
171,2013,Hawaii,1376298.0,203692.0
172,2013,Idaho,1583364.0,204254.0
173,2013,Illinois,12848554.0,1657463.0
174,2013,Indiana,6514861.0,866477.0
175,2013,Iowa,3062553.0,462446.0
176,2013,Kansas,2868107.0,387194.0
177,2013,Kentucky,4361333.0,597503.0
178,2013,Louisiana,4567968.0,575564.0
179,2013,Maine,1328320.0,219173.0
180,2013,Maryland,5834299.0,740956.0
181,2013,Massachusetts,6605058.0,931313.0
182,2013,Michigan,9886095.0,1403825.0
183,2013,Minnesota,5347740.0,711249.0
184,2013,Mississippi,2976872.0,392947.0
185,2013,Missouri,6007182.0,865034.0
186,2013,Montana,998554.0,152779.0
187,2013,Nebraska,1841625.0,252303.0
188,2013,Nevada,2730066.0,343988.0
189,2013,New Hampshire,1319171.0,187322.0
190,2013,New Jersey,8832406.0,1218872.0
