Acsst5Y2010.S0101-Data.1.2,Geography,Geographic Area Name,Total  Estimate  Total Population,Male  Estimate  Total Population,Female  Estimate  Total Population,Total  Estimate  Age Under 5 Years,Male  Estimate  Age Under 5 Years,Female  Estimate  Age Under 5 Years,Total  Estimate  Age 5 To 9 Years,Male  Estimate  Age 5 To 9 Years,Female  Estimate  Age 5 To 9 Years,Total  Estimate  Age 10 To 14 Years,Male  Estimate  Age 10 To 14 Years,Female  Estimate  Age 10 To 14 Years,Total  Estimate  Age 15 To 19 Years,Male  Estimate  Age 15 To 19 Years,Female  Estimate  Age 15 To 19 Years,Total  Estimate  Age 20 To 24 Years,Male  Estimate  Age 20 To 24 Years,Female  Estimate  Age 20 To 24 Years,Total  Estimate  Age 25 To 29 Years,Male  Estimate  Age 25 To 29 Years,Female  Estimate  Age 25 To 29 Years,Total  Estimate  Age 30 To 34 Years,Male  Estimate  Age 30 To 34 Years,Female  Estimate  Age 30 To 34 Years,Total  Estimate  Age 35 To 39 Years,Male  Estimate  Age 35 To 39 Years,Female  Estimate  Age 35 To 39 Years,Total  Estimate  Age 40 To 44 Years,Male  Estimate  Age 40 To 44 Years,Female  Estimate  Age 40 To 44 Years,Total  Estimate  Age 45 To 49 Years,Male  Estimate  Age 45 To 49 Years,Female  Estimate  Age 45 To 49 Years,Total  Estimate  Age 50 To 54 Years,Male  Estimate  Age 50 To 54 Years,Female  Estimate  Age 50 To 54 Years,Total  Estimate  Age 55 To 59 Years,Male  Estimate  Age 55 To 59 Years,Female  Estimate  Age 55 To 59 Years,Total  Estimate  Age 60 To 64 Years,Male  Estimate  Age 60 To 64 Years,Female  Estimate  Age 60 To 64 Years,Total  Estimate  Age 65 To 69 Years,Male  Estimate  Age 65 To 69 Years,Female  Estimate  Age 65 To 69 Years,Total  Estimate  Age 70 To 74 Years,Male  Estimate  Age 70 To 74 Years,Female  Estimate  Age 70 To 74 Years,Total  Estimate  Age 75 To 79 Years,Male  Estimate  Age 75 To 79 Years,Female  Estimate  Age 75 To 79 Years,Total  Estimate  Age 80 To 84 Years,Male  Estimate  Age 80 To 84 Years,Female  Estimate  Age 80 To 84 Years,Total  Estimate  Age 85 Years And Over,Male  Estimate  Age 85 Years And Over,Female  Estimate  Age 85 Years And Over,Total  Estimate  Selected Age Categories 5 To 14 Years,Male  Estimate  Selected Age Categories 5 To 14 Years,Female  Estimate  Selected Age Categories 5 To 14 Years,Total  Estimate  Selected Age Categories 15 To 17 Years,Male  Estimate  Selected Age Categories 15 To 17 Years,Female  Estimate  Selected Age Categories 15 To 17 Years,Total  Estimate  Selected Age Categories 18 To 24 Years,Male  Estimate  Selected Age Categories 18 To 24 Years,Female  Estimate  Selected Age Categories 18 To 24 Years,Total  Estimate  Selected Age Categories 15 To 44 Years,Male  Estimate  Selected Age Categories 15 To 44 Years,Female  Estimate  Selected Age Categories 15 To 44 Years,Total  Estimate  Selected Age Categories 16 Years And Over,Male  Estimate  Selected Age Categories 16 Years And Over,Female  Estimate  Selected Age Categories 16 Years And Over,Total  Estimate  Selected Age Categories 18 Years And Over,Male  Estimate  Selected Age Categories 18 Years And Over,Female  Estimate  Selected Age Categories 18 Years And Over,Total  Estimate  Selected Age Categories 60 Years And Over,Male  Estimate  Selected Age Categories 60 Years And Over,Female  Estimate  Selected Age Categories 60 Years And Over,Total  Estimate  Selected Age Categories 62 Years And Over,Male  Estimate  Selected Age Categories 62 Years And Over,Female  Estimate  Selected Age Categories 62 Years And Over,Total  Estimate  Selected Age Categories 65 Years And Over,Male  Estimate  Selected Age Categories 65 Years And Over,Female  Estimate  Selected Age Categories 65 Years And Over,Total  Estimate  Selected Age Categories 75 Years And Over,Male  Estimate  Selected Age Categories 75 Years And Over,Female  Estimate  Selected Age Categories 75 Years And Over,Total  Estimate  Summary Indicators Median Age (Years),Male  Estimate  Summary Indicators Median Age (Years),Female  Estimate  Summary Indicators Median Age (Years),Total  Estimate  Summary Indicators Sex Ratio (Males Per 100 Females),Male  Estimate  Summary Indicators Sex Ratio (Males Per 100 Females),Female  Estimate  Summary Indicators Sex Ratio (Males Per 100 Females),Total  Estimate  Summary Indicators Age Dependency Ratio,Male  Estimate  Summary Indicators Age Dependency Ratio,Female  Estimate  Summary Indicators Age Dependency Ratio,Total  Estimate  Summary Indicators Age Dependency Ratio Old-Age Dependency Ratio,Male  Estimate  Summary Indicators Age Dependency Ratio Old-Age Dependency Ratio,Female  Estimate  Summary Indicators Age Dependency Ratio Old-Age Dependency Ratio,Total  Estimate  Summary Indicators Age Dependency Ratio Child Dependency Ratio,Male  Estimate  Summary Indicators Age Dependency Ratio Child Dependency Ratio,Female  Estimate  Summary Indicators Age Dependency Ratio Child Dependency Ratio,Total  Estimate  Percent Imputed Sex,Male  Estimate  Percent Imputed Sex,Female  Estimate  Percent Imputed Sex,Total  Estimate  Percent Imputed Age,Male  Estimate  Percent Imputed Age,Female  Estimate  Percent Imputed Age
2010,0400000US01,Alabama,4712651,2285905,2426746,6.4,6.7,6.1,6.6,6.9,6.3,6.7,7.1,6.3,7.3,7.7,6.9,7,7.2,6.8,6.5,6.6,6.4,6.1,6.2,6.1,6.6,6.6,6.5,6.9,7,6.8,7.4,7.4,7.4,7.2,7.2,7.2,6.4,6.3,6.5,5.4,5.4,5.5,4.2,4,4.3,3.3,3,3.6,2.6,2.2,2.9,1.9,1.4,2.3,1.6,0.9,2.2,13.3,14,12.6,4.3,4.6,4,10,10.4,9.7,40.4,41.4,39.5,78.8,77.7,79.9,76,74.6,77.2,18.9,17,20.7,16.5,14.6,18.3,13.5,11.6,15.2,6,4.6,7.3,37.5,36.1,38.9,94.2,(X),(X),60,(X),(X),21.6,(X),(X),38.4,(X),(X),0.2,(X),(X),1,(X),(X)
2010,0400000US02,Alaska,691189,358919,332270,7.4,7.4,7.4,7.2,7.1,7.2,7.4,7.3,7.4,7.9,7.8,7.9,8,8.5,7.4,7.3,7.4,7.2,6.4,6.4,6.4,6.5,6.5,6.5,7.4,7.4,7.5,8.1,8.1,8.1,7.9,7.9,7.9,6.9,7,6.7,4.5,4.6,4.4,2.8,2.8,2.8,1.9,1.8,1.9,1.2,1.1,1.3,0.8,0.7,1,0.6,0.4,0.8,14.5,14.4,14.7,4.8,4.7,4.9,11,11.5,10.4,43.4,43.9,42.9,76.4,76.5,76.4,73.2,73.4,73,11.8,11.3,12.2,9.7,9.2,10.2,7.3,6.7,7.8,2.6,2.2,3.1,33.8,33.5,34.1,108,(X),(X),51.6,(X),(X),11,(X),(X),40.6,(X),(X),0.1,(X),(X),1.2,(X),(X)
2010,0400000US04,Arizona,6246816,3108234,3138582,7.4,7.6,7.2,7,7.2,6.9,7,7.3,6.8,7.2,7.5,7,6.9,7.2,6.6,7.2,7.3,7,6.5,6.7,6.3,6.7,6.9,6.6,6.5,6.7,6.4,6.8,6.8,6.8,6.4,6.2,6.5,5.8,5.5,6,5.1,4.9,5.4,4.1,3.9,4.4,3.3,3.1,3.4,2.6,2.4,2.8,1.8,1.6,2.1,1.5,1.1,1.9,14.1,14.5,13.7,4.3,4.5,4.2,9.9,10.3,9.4,41.1,42.3,39.9,77.1,76.4,77.7,74.2,73.4,74.9,18.5,17.1,19.9,16.3,14.9,17.6,13.3,12.2,14.5,5.9,5.1,6.8,35.5,34.3,36.6,99,(X),(X),64.4,(X),(X),21.9,(X),(X),42.5,(X),(X),0.2,(X),(X),1.2,(X),(X)
2010,0400000US05,Arkansas,2872684,1408945,1463739,6.8,7.1,6.5,6.8,7.1,6.6,6.7,7.1,6.4,7.2,7.5,6.8,6.8,7,6.6,6.7,6.8,6.6,6.2,6.3,6,6.4,6.4,6.3,6.7,6.8,6.5,7.1,7.1,7.1,6.8,6.8,6.8,6.2,6.2,6.2,5.5,5.3,5.7,4.3,4.1,4.5,3.5,3.3,3.6,2.6,2.3,2.9,2,1.6,2.4,1.7,1.1,2.4,13.6,14.2,13,4.2,4.4,4,9.8,10.1,9.5,39.9,40.8,39,78.2,77.2,79.2,75.4,74.3,76.5,19.6,17.7,21.5,17.3,15.5,19,14.1,12.4,15.8,6.4,5,7.7,37.2,35.8,38.4,96.3,(X),(X),63.2,(X),(X),23.1,(X),(X),40.1,(X),(X),0.2,(X),(X),0.6,(X),(X)
2010,0400000US06,California,36637290,18223157,18414133,6.9,7.1,6.8,6.8,6.9,6.6,7.1,7.4,6.9,7.7,7.9,7.4,7.4,7.7,7,7.4,7.6,7.2,6.9,7,6.7,7.2,7.3,7.1,7.2,7.3,7.1,7.3,7.3,7.3,6.7,6.7,6.8,5.7,5.6,5.9,4.6,4.4,4.7,3.3,3.1,3.5,2.5,2.3,2.8,2.1,1.8,2.3,1.7,1.3,2,1.5,1.1,2,13.9,14.3,13.5,4.6,4.8,4.5,10.4,10.9,9.9,43.7,45,42.5,77.6,77,78.3,74.5,73.8,75.3,15.6,14,17.3,13.6,12,15.2,11.1,9.6,12.5,5.3,4.2,6.3,34.9,33.7,36,99,(X),(X),57.6,(X),(X),17.5,(X),(X),40.1,(X),(X),0.2,(X),(X),1.3,(X),(X)
2010,0400000US08,Colorado,4887061,2448492,2438569,7,7.1,6.8,6.9,7.1,6.8,6.6,6.7,6.4,7,7.2,6.7,7.1,7.4,6.8,7.3,7.5,7.2,7,7.2,6.8,7.2,7.4,7,7.2,7.2,7.1,7.7,7.6,7.7,7.3,7.3,7.4,6.3,6.2,6.4,5,4.8,5.1,3.3,3.2,3.5,2.5,2.3,2.7,1.9,1.7,2.2,1.5,1.2,1.8,1.3,0.9,1.8,13.5,13.8,13.2,4.1,4.3,4,9.9,10.3,9.5,42.8,43.9,41.6,78.2,77.7,78.6,75.4,74.8,76,15.5,14.1,16.9,13.3,11.9,14.7,10.5,9.2,11.9,4.7,3.7,5.7,35.8,34.9,36.8,100.4,(X),(X),54.2,(X),(X),16.2,(X),(X),37.9,(X),(X),0.2,(X),(X),1,(X),(X)
2010,0400000US09,Connecticut,3545837,1724834,1821003,5.8,6.1,5.5,6.4,6.7,6,6.8,7.2,6.5,7.1,7.5,6.7,6.2,6.6,5.9,5.8,6,5.6,5.8,5.9,5.7,6.7,6.7,6.8,7.7,7.8,7.7,8.2,8.3,8.2,7.7,7.7,7.6,6.5,6.4,6.5,5.4,5.2,5.5,3.8,3.6,4,2.9,2.7,3.2,2.6,2.3,2.9,2.2,1.7,2.6,2.3,1.5,3.1,13.2,13.9,12.5,4.4,4.6,4.1,9,9.6,8.5,39.4,40.5,38.4,79.6,78.5,80.6,76.7,75.4,77.8,19.2,17.1,21.2,16.9,14.9,18.9,13.9,11.9,15.8,7.1,5.5,8.6,39.5,38.1,40.8,94.7,(X),(X),59.2,(X),(X),22.1,(X),(X),37.2,(X),(X),0.2,(X),(X),1.1,(X),(X)
2010,0400000US10,Delaware,881278,427218,454060,6.4,6.7,6.1,6.4,6.7,6.1,6.3,6.7,6,7.3,7.6,6.9,6.9,7.2,6.6,6.6,6.7,6.5,5.9,6,5.9,6.7,6.7,6.6,7,7.1,7,7.6,7.6,7.6,7.1,7.1,7.2,6.2,6.2,6.3,5.6,5.4,5.9,4.3,4.2,4.5,3.4,3.2,3.5,2.6,2.4,2.8,1.9,1.5,2.2,1.8,1.2,2.3,12.7,13.4,12.1,4.2,4.5,3.9,10,10.4,9.7,40.4,41.2,39.5,79.5,78.3,80.5,76.7,75.4,77.9,19.6,17.9,21.2,17.2,15.6,18.8,13.9,12.5,15.3,6.2,5.1,7.3,38.3,36.9,39.5,94.1,(X),(X),59.3,(X),(X),22.2,(X),(X),37.1,(X),(X),0.2,(X),(X),0.9,(X),(X)
2010,0400000US11,District of Columbia,584400,276101,308299,5.5,6,5.2,4.5,4.7,4.2,4.6,4.9,4.3,7.5,7.5,7.4,9.6,9.2,10,10.7,10.5,10.9,8.8,9,8.6,7.4,7.8,7.1,6.6,7.2,6,6.6,7,6.2,6.3,6.4,6.2,5.8,5.6,5.9,4.8,4.7,5,3.5,3.3,3.6,2.6,2.3,2.8,2,1.8,2.3,1.8,1.4,2.1,1.6,0.9,2.3,9,9.6,8.5,3.1,3.3,2.9,14,13.4,14.5,50.5,51.2,49.9,84.4,83.3,85.4,82.4,81.1,83.4,16.3,14.4,18.1,14.2,12.2,15.9,11.5,9.7,13.1,5.5,4.1,6.7,34.3,33.9,34.7,89.6,(X),(X),41.1,(X),(X),16.2,(X),(X),24.9,(X),(X),0.2,(X),(X),1.4,(X),(X)
2010,0400000US12,Florida,18511620,9050155,9461465,5.8,6.1,5.6,5.8,6,5.6,6.1,6.5,5.8,6.7,7,6.3,6.5,6.8,6.2,6.3,6.4,6.1,5.9,6,5.8,6.5,6.6,6.4,7.1,7.2,6.9,7.5,7.5,7.4,6.9,6.8,7,6.3,6.1,6.5,5.7,5.6,5.9,4.8,4.7,5,4,3.7,4.2,3.3,3.1,3.6,2.6,2.2,2.9,2.2,1.7,2.8,11.9,12.4,11.4,3.9,4.2,3.7,9.2,9.7,8.8,38.9,40.1,37.7,81,80.1,81.8,78.3,77.3,79.3,22.7,20.9,24.4,20.3,18.6,21.9,16.9,15.4,18.4,8.1,6.9,9.2,40.3,38.9,41.6,95.7,(X),(X),62.9,(X),(X),27.6,(X),(X),35.3,(X),(X),0.2,(X),(X),1.3,(X),(X)
