Year,Geography,Geographic Area Name,Households Estimate Total,Families Estimate Total,Married-Couple Families Estimate Total,Nonfamily Households Estimate Total,"Households Estimate Less Than $10,000","Families Estimate Less Than $10,000","Married-Couple Families Estimate Less Than $10,000","Nonfamily Households Estimate Less Than $10,000","Households Estimate $10,000 To $14,999","Families Estimate $10,000 To $14,999","Married-Couple Families Estimate $10,000 To $14,999","Nonfamily Households Estimate $10,000 To $14,999","Households Estimate $15,000 To $24,999","Families Estimate $15,000 To $24,999","Married-Couple Families Estimate $15,000 To $24,999","Nonfamily Households Estimate $15,000 To $24,999","Households Estimate $25,000 To $34,999","Families Estimate $25,000 To $34,999","Married-Couple Families Estimate $25,000 To $34,999","Nonfamily Households Estimate $25,000 To $34,999","Households Estimate $35,000 To $49,999","Families Estimate $35,000 To $49,999","Married-Couple Families Estimate $35,000 To $49,999","Nonfamily Households Estimate $35,000 To $49,999","Households Estimate $50,000 To $74,999","Families Estimate $50,000 To $74,999","Married-Couple Families Estimate $50,000 To $74,999","Nonfamily Households Estimate $50,000 To $74,999","Households Estimate $75,000 To $99,999","Families Estimate $75,000 To $99,999","Married-Couple Families Estimate $75,000 To $99,999","Nonfamily Households Estimate $75,000 To $99,999","Households Estimate $100,000 To $149,999","Families Estimate $100,000 To $149,999","Married-Couple Families Estimate $100,000 To $149,999","Nonfamily Households Estimate $100,000 To $149,999","Households Estimate $150,000 To $199,999","Families Estimate $150,000 To $199,999","Married-Couple Families Estimate $150,000 To $199,999","Nonfamily Households Estimate $150,000 To $199,999","Households Estimate $200,000 Or More","Families Estimate $200,000 Or More","Married-Couple Families Estimate $200,000 Or More","Nonfamily Households Estimate $200,000 Or More",Households Estimate Median Income (Dollars),Families Estimate Median Income (Dollars),Married-Couple Families Estimate Median Income (Dollars),Nonfamily Households Estimate Median Income (Dollars),Households Estimate Mean Income (Dollars),Families Estimate Mean Income (Dollars),Married-Couple Families Estimate Mean Income (Dollars),Nonfamily Households Estimate Mean Income (Dollars),Households Estimate Percent Imputed Household Income In The Past 12 Months,Families Estimate Percent Imputed Household Income In The Past 12 Months,Married-Couple Families Estimate Percent Imputed Household Income In The Past 12 Months,Nonfamily Households Estimate Percent Imputed Household Income In The Past 12 Months,Households Estimate Percent Imputed Family Income In The Past 12 Months,Families Estimate Percent Imputed Family Income In The Past 12 Months,Married-Couple Families Estimate Percent Imputed Family Income In The Past 12 Months,Nonfamily Households Estimate Percent Imputed Family Income In The Past 12 Months,Households Estimate Percent Imputed Nonfamily Income In The Past 12 Months,Families Estimate Percent Imputed Nonfamily Income In The Past 12 Months,Married-Couple Families Estimate Percent Imputed Nonfamily Income In The Past 12 Months,Nonfamily Households Estimate Percent Imputed Nonfamily Income In The Past 12 Months
2010,0400000US01,Alabama,1821210,1240503,896323,580707,10.3,6.2,1.9,20,7.2,4.2,2.1,14,13.3,10.8,7.4,19.2,11.7,10.9,9.3,13.4,14.7,15,14.7,13.8,17.7,20.2,22.8,11.4,10.6,13.4,16.6,4.1,9.4,12.4,16.1,2.7,2.8,3.8,5,0.7,2.3,3.1,4.1,0.6,42081,52863,65188,22933,57655,68275,80927,33317,26.9,(X),(X),(X),(X),27.6,(X),(X),(X),(X),(X),24.5
2010,0400000US02,Alaska,248248,168684,126237,79564,3.9,2.7,0.6,8.2,3.8,2.2,0.7,8,7.6,5.3,3,13,8.9,7.6,5.2,12.5,12.6,10.9,9.2,16.1,19.1,19.2,18.9,19.1,15.2,16.9,19.3,10.7,18,21.4,25.7,8.8,6.3,8,10.1,2.2,4.6,5.8,7.3,1.4,66521,77886,90821,42502,82091,93053,106686,53784,22.4,(X),(X),(X),(X),23.2,(X),(X),(X),(X),(X),18.5
2010,0400000US04,Arizona,2326468,1542305,1150428,784163,7,4.9,2.1,12.9,5.1,3.3,1.9,9.3,10.8,8.5,6.3,16.1,11.3,10.1,8.5,14.2,15.3,14.6,13.6,16.6,19.2,20.6,21.6,15.7,12.3,14.4,16.6,7.3,11.8,14.6,17.8,5.4,3.7,4.7,5.9,1.4,3.4,4.4,5.7,1.3,50448,59840,70143,33003,67436,77127,88273,45232,26.9,(X),(X),(X),(X),27.3,(X),(X),(X),(X),(X),24.5
2010,0400000US05,Arkansas,1117154,762763,566997,354391,9.9,5.9,1.9,19.9,7.7,4.6,2.5,15,14.5,12.2,9.2,20.1,13,12.4,11,14.2,15.7,16.4,16.8,13.7,17.8,20.8,23.9,10.4,9.7,12.3,15,3.5,7.7,10.2,12.8,2.1,2.2,2.9,3.7,0.5,1.8,2.4,3.1,0.6,39267,48491,57984,22039,53253,62497,72578,31538,26.1,(X),(X),(X),(X),26.4,(X),(X),(X),(X),(X),23.9
2010,0400000US06,California,12392852,8495322,6166334,3897530,5.3,3.9,1.6,10.1,5.1,3.1,1.7,10.2,9.5,8.2,6,13.2,9.1,8.5,6.9,11,12.7,12.2,11,13.7,17.6,17.8,17.6,16.6,12.8,13.7,15,9.9,15,17.2,20.5,9,6.4,7.6,9.6,3.1,6.5,7.9,10.2,3,60883,69322,82998,40588,83483,92942,107696,58117,27.5,(X),(X),(X),(X),28.2,(X),(X),(X),(X),(X),23.6
2010,0400000US08,Colorado,1918959,1236008,964538,682951,6.4,3.8,1.4,12.1,4.7,2.6,1.5,8.8,9.6,7,4.8,14.8,9.7,7.9,6.2,13.5,13.9,12.6,11.2,16.5,18.9,19.6,20,17.1,13.1,15.6,17.6,8,14,17.9,21.3,6.2,5,6.8,8.3,1.6,4.5,6.2,7.5,1.4,56456,70046,81153,35617,75264,89099,100749,47659,21.8,(X),(X),(X),(X),21.9,(X),(X),(X),(X),(X),20.5
2010,0400000US09,Connecticut,1359218,911653,687460,447565,5.4,3.1,0.8,11.2,4.1,2.1,0.8,8.6,8.3,5.3,3,15,7.9,6.3,4.4,11.9,11.6,10.1,8.3,14.8,17.3,17,16.2,17.5,13.8,15.6,17.2,9.5,16.7,20.9,24.7,7.1,6.8,9,11.2,2.2,8.1,10.7,13.6,2.3,67740,84170,99153,38362,94306,112576,130904,53771,27.6,(X),(X),(X),(X),28.2,(X),(X),(X),(X),(X),25
2010,0400000US10,Delaware,331639,224796,164481,106843,5.7,3.3,0.9,12,4.1,2,0.8,8.7,9.4,6.9,4.2,15.4,9.9,8.7,6.7,13.2,13.9,12.9,11.1,16.2,19.8,20.3,20.7,17.9,13.8,16.1,18.4,8,14.4,18,22.1,5.6,5.2,6.6,8.7,1.6,3.9,5,6.6,1.3,57599,69182,82173,35567,74703,86238,99994,46928,27.8,(X),(X),(X),(X),28,(X),(X),(X),(X),(X),25.6
2010,0400000US11,District of Columbia,257317,109171,57033,148146,10.9,8.5,1.7,13.1,4.9,3.8,0.9,5.8,8.1,7.3,3.2,8.9,8,8.2,4.3,8.3,11.8,10.5,6.7,12.8,15.6,13.7,10.9,16.8,11.1,9.9,10.4,11.8,12.8,13.8,19.8,12.1,7.2,9.6,15.6,5.3,9.6,14.8,26.4,5.2,58526,70883,129485,51324,91778,116122,173462,72054,27.8,(X),(X),(X),(X),31.9,(X),(X),(X),(X),(X),24
2010,0400000US12,Florida,7152844,4670069,3444884,2482775,7.3,4.4,1.9,13.9,5.6,3.4,2,10.4,11.8,9.4,6.6,17.3,11.8,10.7,8.8,14.4,15.6,15.4,14.5,15.9,18.9,20.8,22.2,14.4,11.5,13.7,16.1,6.4,10.5,13.2,16.3,4.6,3.4,4.4,5.6,1.3,3.6,4.6,6,1.5,47661,57204,67386,30716,66323,77033,88958,43530,28.9,(X),(X),(X),(X),29,(X),(X),(X),(X),(X),27.1
