State_Name,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Code,Item
Alabama,9821,9942,10006,10061,10247,10489,10612,10919,1,Medicare/Personal Health Care ($)
Alaska,8554,8828,8783,9091,9357,9376,9888,10117,1,Medicare/Personal Health Care ($)
Arizona,9611,9921,9970,10033,10100,10279,10400,10845,1,Medicare/Personal Health Care ($)
Arkansas,8939,9162,9240,9253,9435,9689,9898,10268,1,Medicare/Personal Health Care ($)
California,11142,11421,11529,11680,11769,12146,12320,12488,1,Medicare/Personal Health Care ($)
Colorado,8865,8943,9023,8931,9239,9427,9549,9943,1,Medicare/Personal Health Care ($)
Connecticut,11080,11343,11263,11592,11898,12113,12173,12472,1,Medicare/Personal Health Care ($)
Delaware,10589,10930,10836,11126,11525,11632,11790,11867,1,Medicare/Personal Health Care ($)
District of Columbia,11312,11549,11549,11714,11840,12266,12470,12662,1,Medicare/Personal Health Care ($)
Florida,12057,12293,12325,12186,12263,12484,12393,12518,1,Medicare/Personal Health Care ($)
Georgia,10016,10162,10247,10315,10394,10562,10812,11139,1,Medicare/Personal Health Care ($)
Hawaii,7864,8143,8307,8277,8547,8802,9006,9071,1,Medicare/Personal Health Care ($)
Idaho,7877,8181,8351,8410,8749,8886,9046,9230,1,Medicare/Personal Health Care ($)
Illinois,10764,11026,10960,10967,11129,11231,11373,11603,1,Medicare/Personal Health Care ($)
Indiana,10003,10323,10354,10517,10706,10834,11014,11269,1,Medicare/Personal Health Care ($)
Iowa,8485,8762,8914,9079,9240,9506,9587,9974,1,Medicare/Personal Health Care ($)
Kansas,9554,9759,9780,9831,10105,10223,10289,10640,1,Medicare/Personal Health Care ($)
Kentucky,9823,10098,10104,10211,10306,10388,10628,11054,1,Medicare/Personal Health Care ($)
Louisiana,12016,12145,11963,11786,11801,11954,12064,12277,1,Medicare/Personal Health Care ($)
Maine,8622,8952,8872,9013,9287,9493,9700,10019,1,Medicare/Personal Health Care ($)
Maryland,11407,11904,11727,11824,12058,12319,12331,12625,1,Medicare/Personal Health Care ($)
Massachusetts,11384,11566,11684,11600,11927,12199,12314,12425,1,Medicare/Personal Health Care ($)
Michigan,10889,11048,11048,11109,11251,11380,11392,11592,1,Medicare/Personal Health Care ($)
Minnesota,9005,9176,9294,9508,9880,10206,10236,10773,1,Medicare/Personal Health Care ($)
Mississippi,10873,10932,10928,10823,10986,11214,11380,11703,1,Medicare/Personal Health Care ($)
Missouri,9829,10011,10153,10204,10446,10582,10715,11052,1,Medicare/Personal Health Care ($)
Montana,7596,7683,7821,8012,8208,8381,8600,9101,1,Medicare/Personal Health Care ($)
Nebraska,9332,9518,9595,9737,9897,10228,10301,10657,1,Medicare/Personal Health Care ($)
Nevada,10043,10342,10389,10553,10791,11118,11400,11662,1,Medicare/Personal Health Care ($)
New Hampshire,8698,9122,9084,9214,9304,9561,9844,10092,1,Medicare/Personal Health Care ($)
New Jersey,12028,12302,12172,12303,12625,12756,12931,12957,1,Medicare/Personal Health Care ($)
