State_Name,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Code,Item
Alabama,10017,10117,10157,10116,10445,11223,11901,12623,1,Private Health Insurance/Personal Health Care (Millions of Dollars)
Alaska,2125,2268,2560,2408,2316,2845,2893,2599,1,Private Health Insurance/Personal Health Care (Millions of Dollars)
Arizona,12492,13274,13562,12551,13750,15046,17451,17469,1,Private Health Insurance/Personal Health Care (Millions of Dollars)
Arkansas,4865,5198,5613,5412,5896,6170,6861,7136,1,Private Health Insurance/Personal Health Care (Millions of Dollars)
California,79647,88216,89019,89324,95795,105568,114331,116430,1,Private Health Insurance/Personal Health Care (Millions of Dollars)
Colorado,11091,12320,12723,13395,14236,14551,16156,17336,1,Private Health Insurance/Personal Health Care (Millions of Dollars)
Connecticut,11018,11395,11415,10916,11200,11679,11800,12592,1,Private Health Insurance/Personal Health Care (Millions of Dollars)
Delaware,2556,2932,2716,2503,2741,2814,3081,3506,1,Private Health Insurance/Personal Health Care (Millions of Dollars)
District of Columbia,3151,3490,3569,3512,3602,3832,3887,4080,1,Private Health Insurance/Personal Health Care (Millions of Dollars)
Florida,39378,39315,40359,40720,44733,49436,52504,54792,1,Private Health Insurance/Personal Health Care (Millions of Dollars)
Georgia,20458,21459,22428,23380,24718,28540,29695,30504,1,Private Health Insurance/Personal Health Care (Millions of Dollars)
Hawaii,3066,3210,3307,3149,3385,3631,3970,4173,1,Private Health Insurance/Personal Health Care (Millions of Dollars)
Idaho,2996,2919,3155,3225,3450,3913,4316,4326,1,Private Health Insurance/Personal Health Care (Millions of Dollars)
Illinois,33750,34146,35302,36126,37900,39107,40138,42451,1,Private Health Insurance/Personal Health Care (Millions of Dollars)
Indiana,14804,15232,16097,16265,17093,18029,18767,18822,1,Private Health Insurance/Personal Health Care (Millions of Dollars)
Iowa,8239,7999,8410,8079,8455,9139,9389,10496,1,Private Health Insurance/Personal Health Care (Millions of Dollars)
Kansas,6446,6672,6837,7374,7514,7982,7985,8388,1,Private Health Insurance/Personal Health Care (Millions of Dollars)
Kentucky,10056,10978,11285,11009,11152,11657,11298,10741,1,Private Health Insurance/Personal Health Care (Millions of Dollars)
Louisiana,8661,8751,9985,9961,10455,11612,11828,11474,1,Private Health Insurance/Personal Health Care (Millions of Dollars)
Maine,3427,3596,3729,3722,3852,3983,4506,4515,1,Private Health Insurance/Personal Health Care (Millions of Dollars)
Maryland,15165,16152,16197,15690,16264,17042,17531,18534,1,Private Health Insurance/Personal Health Care (Millions of Dollars)
Massachusetts,21421,22047,23220,22658,22245,23879,24372,27443,1,Private Health Insurance/Personal Health Care (Millions of Dollars)
Michigan,25879,24164,24593,23500,24474,25975,28399,29906,1,Private Health Insurance/Personal Health Care (Millions of Dollars)
Minnesota,13903,15493,15555,14802,15681,16109,16924,17696,1,Private Health Insurance/Personal Health Care (Millions of Dollars)
Mississippi,5313,5292,5471,5407,5729,5812,5989,6137,1,Private Health Insurance/Personal Health Care (Millions of Dollars)
Missouri,13072,14404,15740,15259,15110,16102,15978,17622,1,Private Health Insurance/Personal Health Care (Millions of Dollars)
Montana,1897,2083,2130,2180,2296,2294,2569,2907,1,Private Health Insurance/Personal Health Care (Millions of Dollars)
Nebraska,4755,4900,5188,4918,5414,5533,5738,6104,1,Private Health Insurance/Personal Health Care (Millions of Dollars)
Nevada,6162,6158,5195,5354,5838,6509,6308,6781,1,Private Health Insurance/Personal Health Care (Millions of Dollars)
New Hampshire,4272,4654,4291,4259,4371,4444,4618,4669,1,Private Health Insurance/Personal Health Care (Millions of Dollars)
New Jersey,23271,25053,26308,27284,28246,28733,30509,31526,1,Private Health Insurance/Personal Health Care (Millions of Dollars)
New Mexico,3584,3829,4396,3961,4099,4199,4533,4740,1,Private Health Insurance/Personal Health Care (Millions of Dollars)
New York,54178,55350,56880,57540,57034,62266,63054,70143,1,Private Health Insurance/Personal Health Care (Millions of Dollars)
North Carolina,19665,20162,20138,19372,20945,24452,26081,27955,1,Private Health Insurance/Personal Health Care (Millions of Dollars)
North Dakota,1786,1953,2125,2217,2236,2453,2599,2648,1,Private Health Insurance/Personal Health Care (Millions of Dollars)
Ohio,28840,28867,28647,28996,29320,31734,33719,35165,1,Private Health Insurance/Personal Health Care (Millions of Dollars)
Oklahoma,7664,7410,7755,7705,8722,9208,9694,10349,1,Private Health Insurance/Personal Health Care (Millions of Dollars)
Oregon,9710,9621,10110,9283,9394,9773,11110,11469,1,Private Health Insurance/Personal Health Care (Millions of Dollars)
Pennsylvania,31980,34753,35542,36224,36576,39664,40318,40231,1,Private Health Insurance/Personal Health Care (Millions of Dollars)
Rhode Island,3143,3012,3072,2956,2982,2998,3200,3098,1,Private Health Insurance/Personal Health Care (Millions of Dollars)
South Carolina,9474,10376,10223,10670,11478,11646,12264,12706,1,Private Health Insurance/Personal Health Care (Millions of Dollars)
South Dakota,1887,2034,2156,2185,2259,2365,2426,2584,1,Private Health Insurance/Personal Health Care (Millions of Dollars)
Tennessee,12884,13061,14523,14597,15131,14576,16368,17155,1,Private Health Insurance/Personal Health Care (Millions of Dollars)
Texas,50945,50958,55433,58430,62215,65344,69840,71261,1,Private Health Insurance/Personal Health Care (Millions of Dollars)
